timestamp,src_ip,dst_ip,src_port,dst_port,protocol,length,ttl,tcp_flags,window_size
2026-01-15 09:34:59.629662,192.168.167.46,192.168.98.205,8080,3389,TCP,1249,42,2,17241
2026-01-15 09:34:56.326274,192.168.247.123,192.168.74.193,8080,8121,ICMP,1435,38,16,48852
2026-01-15 09:34:57.508032,192.168.151.192,192.168.166.246,8080,8080,ICMP,991,43,18,62430
2026-01-15 09:35:00.474943,192.168.158.222,192.168.185.197,50483,443,TCP,155,58,1,32343
2026-01-15 09:34:59.819287,192.168.165.194,192.168.120.70,3389,443,ICMP,625,57,2,39745
2026-01-15 09:34:55.935494,192.168.41.61,192.168.86.197,443,8080,TCP,1500,46,18,3508
2026-01-15 09:35:00.627260,192.168.82.184,192.168.106.169,443,8080,TCP,1024,57,0,35826
2026-01-15 09:35:01.637683,192.168.100.195,192.168.3.181,35220,22,UDP,1378,36,16,30630
2026-01-15 09:34:56.497976,192.168.202.192,192.168.82.111,443,22,ICMP,1049,33,2,19624
2026-01-15 09:34:59.248860,192.168.91.208,192.168.18.137,3469,443,UDP,861,58,0,42699
2026-01-15 09:34:58.212551,192.168.162.4,192.168.155.224,443,3389,UDP,914,46,2,3359
2026-01-15 09:34:58.215424,192.168.243.26,192.168.61.43,3389,8080,TCP,1223,64,16,35573
2026-01-15 09:35:00.533734,192.168.13.73,192.168.229.48,8080,7652,UDP,227,37,2,30219
2026-01-15 09:35:00.116511,192.168.168.228,192.168.162.217,6014,443,UDP,1351,54,16,5661
2026-01-15 09:35:02.016354,192.168.153.53,192.168.43.31,20247,80,ICMP,1310,50,2,26544
2026-01-15 09:34:57.547392,192.168.33.240,192.168.44.30,443,11648,ICMP,1085,60,0,9293
2026-01-15 09:35:03.025393,192.168.218.223,192.168.8.33,22,80,UDP,871,39,2,41276
2026-01-15 09:34:57.168552,192.168.44.200,192.168.212.112,31537,443,UDP,1028,42,2,34499
2026-01-15 09:34:57.437909,192.168.36.150,192.168.225.74,8080,22,TCP,915,38,18,49782
2026-01-15 09:34:57.141028,192.168.122.131,192.168.83.127,3389,3389,ICMP,1396,30,16,36947
2026-01-15 09:35:02.504775,192.168.176.157,192.168.61.244,443,61804,ICMP,1372,50,1,65316
2026-01-15 09:34:57.180236,192.168.166.49,192.168.93.26,80,47106,TCP,1077,46,18,20067
2026-01-15 09:35:00.507201,192.168.43.42,192.168.70.31,12556,80,UDP,522,47,16,9585
2026-01-15 09:34:59.952960,192.168.108.150,192.168.247.163,22,30685,TCP,423,32,18,18630
2026-01-15 09:35:00.166043,192.168.161.185,192.168.63.51,443,22,ICMP,1182,51,1,52829
2026-01-15 09:35:00.512929,192.168.203.183,192.168.33.15,443,22,UDP,625,39,16,31395
2026-01-15 09:34:57.154217,192.168.58.9,192.168.1.69,11040,3389,ICMP,301,37,1,11239
2026-01-15 09:34:59.187378,192.168.212.201,192.168.22.20,65511,8080,TCP,1141,61,16,10179
2026-01-15 09:34:58.980738,192.168.8.225,192.168.97.191,80,80,UDP,500,40,16,13153
2026-01-15 09:35:01.060788,192.168.45.153,192.168.159.71,80,8080,TCP,42,59,0,32171
2026-01-15 09:34:56.984803,192.168.145.25,192.168.65.106,37333,22,UDP,1164,51,16,30116
2026-01-15 09:35:02.410208,192.168.12.139,192.168.19.230,443,80,ICMP,1000,46,0,42354
2026-01-15 09:35:02.406875,192.168.76.203,192.168.18.197,53078,443,ICMP,182,35,16,44129
2026-01-15 09:34:57.155298,192.168.132.192,192.168.91.93,443,80,ICMP,828,31,18,57695
2026-01-15 09:34:57.585418,192.168.211.139,192.168.136.21,3389,28845,ICMP,483,35,1,19653
2026-01-15 09:35:04.524647,192.168.237.200,192.168.85.18,443,3389,UDP,979,41,1,23854
2026-01-15 09:35:01.668734,192.168.37.242,192.168.155.167,80,80,TCP,1130,63,18,60443
2026-01-15 09:34:59.734775,192.168.244.124,192.168.170.73,3389,80,TCP,548,47,2,35451
2026-01-15 09:34:57.695439,192.168.218.2,192.168.206.126,443,8080,ICMP,547,42,1,6121
2026-01-15 09:35:00.634771,192.168.208.59,192.168.229.204,3389,31257,UDP,706,32,16,21386
2026-01-15 09:35:04.009096,192.168.71.46,192.168.65.105,3389,3389,ICMP,66,31,2,18434
2026-01-15 09:34:56.440484,192.168.252.82,192.168.118.243,22,8080,UDP,487,37,0,54297
2026-01-15 09:35:01.919745,192.168.253.105,192.168.105.175,8080,22,ICMP,232,51,18,25877
2026-01-15 09:35:02.574761,192.168.134.133,192.168.219.177,22,80,TCP,1267,33,0,24378
2026-01-15 09:35:04.885891,192.168.61.156,192.168.236.99,8080,443,UDP,182,53,0,17476
2026-01-15 09:35:03.438519,192.168.204.206,192.168.237.47,443,443,ICMP,79,34,1,58791
2026-01-15 09:35:00.126293,192.168.25.151,192.168.237.55,443,8080,UDP,998,62,0,36992
2026-01-15 09:34:56.186614,192.168.229.24,192.168.210.232,443,22,TCP,208,37,1,54154
2026-01-15 09:35:00.939644,192.168.57.94,192.168.58.77,8080,22,ICMP,962,40,16,10816
2026-01-15 09:35:01.134824,192.168.4.195,192.168.143.84,3389,3389,TCP,91,48,0,52319
2026-01-15 09:35:03.779061,192.168.214.112,192.168.73.76,3389,80,TCP,1299,62,1,3185
2026-01-15 09:35:01.252277,192.168.61.9,192.168.138.39,49956,27541,ICMP,674,60,1,12678
2026-01-15 09:34:59.906038,192.168.100.245,192.168.180.36,3389,443,UDP,1035,47,0,30789
2026-01-15 09:34:57.667233,192.168.195.84,192.168.211.211,3389,443,UDP,349,39,1,22669
2026-01-15 09:34:56.237418,192.168.235.112,192.168.176.111,80,8080,ICMP,683,31,2,4768
2026-01-15 09:34:58.296865,192.168.140.191,192.168.4.220,55959,42128,UDP,881,44,0,40291
2026-01-15 09:34:59.628454,192.168.118.54,192.168.136.159,443,22,UDP,756,60,16,29468
2026-01-15 09:34:59.284568,192.168.205.57,192.168.152.149,3389,50152,UDP,855,36,18,50930
2026-01-15 09:35:00.654647,192.168.7.198,192.168.36.253,19858,22,ICMP,1056,52,1,8653
2026-01-15 09:34:56.641238,192.168.110.48,192.168.248.144,80,22,UDP,1030,36,1,43782
2026-01-15 09:34:57.442973,192.168.82.181,192.168.29.109,80,8080,UDP,123,42,18,7193
2026-01-15 09:34:55.858764,192.168.47.33,192.168.115.133,22,36782,ICMP,945,32,0,44023
2026-01-15 09:35:04.341723,192.168.203.253,192.168.164.37,3389,80,ICMP,346,35,18,36483
2026-01-15 09:34:58.719843,192.168.37.212,192.168.172.44,443,80,UDP,180,51,1,10448
2026-01-15 09:34:59.366294,192.168.62.16,192.168.70.108,443,80,ICMP,1168,51,0,19223
2026-01-15 09:35:07.724768,192.168.120.128,192.168.231.108,22,80,UDP,1441,41,18,57022
2026-01-15 09:35:04.552653,192.168.19.173,192.168.139.108,22,13941,TCP,221,31,0,40143
2026-01-15 09:35:03.967083,192.168.123.116,192.168.21.120,40809,443,TCP,1214,38,16,13956
2026-01-15 09:35:04.327031,192.168.89.116,192.168.209.198,3389,8080,ICMP,552,64,2,40089
2026-01-15 09:34:55.940615,192.168.121.101,192.168.109.74,443,8080,ICMP,1391,54,1,58524
2026-01-15 09:35:02.596995,192.168.10.172,192.168.163.20,14873,443,ICMP,1198,30,18,17294
2026-01-15 09:35:02.180170,192.168.166.248,192.168.66.19,443,64152,TCP,957,53,1,52358
2026-01-15 09:34:56.137681,192.168.245.4,192.168.128.93,22,10010,ICMP,240,52,16,13306
2026-01-15 09:35:01.582929,192.168.49.178,192.168.204.23,80,80,UDP,1344,41,18,18073
2026-01-15 09:35:07.509661,192.168.46.253,192.168.160.62,80,3389,UDP,1348,54,0,35934
2026-01-15 09:35:02.782152,192.168.26.99,192.168.11.3,22,8080,TCP,1142,60,0,19632
2026-01-15 09:35:08.073533,192.168.14.247,192.168.213.192,80,8080,UDP,362,46,0,54729
2026-01-15 09:34:59.382322,192.168.163.156,192.168.97.121,22,80,TCP,121,38,18,37310
2026-01-15 09:35:08.330624,192.168.104.87,192.168.140.155,80,3389,UDP,57,35,2,62085
2026-01-15 09:34:59.291744,192.168.35.181,192.168.11.219,12791,3389,TCP,1130,39,18,4905
2026-01-15 09:35:07.943577,192.168.205.53,192.168.156.250,3389,22,TCP,906,46,1,4191
2026-01-15 09:35:01.681978,192.168.112.7,192.168.230.49,443,22,TCP,888,55,0,18332
2026-01-15 09:35:05.727349,192.168.240.72,192.168.202.160,3389,8080,UDP,150,60,1,62813
2026-01-15 09:34:57.316879,192.168.106.235,192.168.197.117,80,3389,ICMP,498,44,2,29401
2026-01-15 09:34:56.536953,192.168.115.82,192.168.250.183,3389,3389,ICMP,1263,42,0,56457
2026-01-15 09:35:04.518424,192.168.3.97,192.168.71.119,443,3389,UDP,234,54,2,43097
2026-01-15 09:34:59.734738,192.168.59.103,192.168.218.230,49665,80,ICMP,286,35,16,5453
2026-01-15 09:35:06.713503,192.168.122.56,192.168.123.70,80,443,TCP,1341,57,1,35109
2026-01-15 09:34:58.481067,192.168.242.89,192.168.169.209,53852,3389,ICMP,460,49,1,29163
2026-01-15 09:35:02.314782,192.168.45.100,192.168.211.72,443,3389,UDP,929,43,2,64201
2026-01-15 09:35:07.617005,192.168.138.17,192.168.76.162,3389,3389,ICMP,1439,64,16,57466
2026-01-15 09:35:09.532799,192.168.205.34,192.168.251.193,22,8080,TCP,451,42,2,40793
2026-01-15 09:35:06.638536,192.168.59.155,192.168.91.57,443,48806,UDP,879,42,18,34071
2026-01-15 09:34:56.834596,192.168.64.75,192.168.248.207,8080,443,UDP,534,53,2,62496
2026-01-15 09:35:05.823224,192.168.58.46,192.168.93.185,51868,22,UDP,453,55,18,52050
2026-01-15 09:35:08.195607,192.168.203.223,192.168.44.140,80,3389,TCP,1008,42,0,4409
2026-01-15 09:35:09.728996,192.168.42.227,192.168.90.91,443,51941,ICMP,1096,37,2,11854
2026-01-15 09:34:57.719878,192.168.29.42,192.168.214.235,56271,80,TCP,962,38,18,4062
2026-01-15 09:34:58.663096,192.168.194.185,192.168.111.215,80,3389,UDP,690,48,2,34805
2026-01-15 09:34:57.447450,192.168.10.152,192.168.34.174,443,11732,TCP,1182,37,16,24769
2026-01-15 09:35:07.347284,192.168.64.2,192.168.121.69,443,3389,ICMP,1327,62,0,50817
2026-01-15 09:35:06.253058,192.168.83.71,192.168.55.128,8080,22,UDP,300,31,16,62260
2026-01-15 09:34:59.202989,192.168.188.151,192.168.92.59,443,3389,TCP,397,32,1,56677
2026-01-15 09:35:06.560764,192.168.235.225,192.168.216.21,7393,443,ICMP,1331,35,18,34253
2026-01-15 09:35:02.408220,192.168.237.210,192.168.116.175,80,8080,ICMP,555,63,16,36283
2026-01-15 09:35:06.735043,192.168.82.125,192.168.22.197,443,61020,UDP,1029,62,1,47380
2026-01-15 09:34:56.694664,192.168.231.59,192.168.184.240,22,3389,TCP,799,44,0,21958
2026-01-15 09:35:08.728831,192.168.205.118,192.168.254.51,80,3389,ICMP,1148,55,2,16767
2026-01-15 09:35:00.112079,192.168.45.105,192.168.183.180,80,22,ICMP,270,43,18,37869
2026-01-15 09:35:01.037361,192.168.9.32,192.168.254.141,443,22,UDP,1166,49,0,53921
2026-01-15 09:34:57.705695,192.168.45.67,192.168.47.120,55323,443,UDP,417,55,16,36964
2026-01-15 09:35:09.039315,192.168.188.169,192.168.184.99,443,45577,TCP,496,41,16,32448
2026-01-15 09:34:58.636425,192.168.50.72,192.168.53.40,22,22789,UDP,437,38,18,13064
2026-01-15 09:35:11.443220,192.168.19.187,192.168.145.76,80,8080,ICMP,1038,57,1,34600
2026-01-15 09:35:00.488121,192.168.124.210,192.168.182.171,80,25978,UDP,964,43,16,27200
2026-01-15 09:35:08.866881,192.168.198.88,192.168.33.232,3389,80,ICMP,436,52,2,43999
2026-01-15 09:34:57.672432,192.168.126.72,192.168.11.33,16167,3389,ICMP,165,50,0,4760
2026-01-15 09:35:01.672234,192.168.44.45,192.168.121.200,3389,34776,UDP,1302,64,2,22301
2026-01-15 09:35:03.571971,192.168.132.176,192.168.115.229,3389,3389,UDP,74,60,0,1579
2026-01-15 09:35:07.375746,192.168.178.97,192.168.62.46,3389,42380,UDP,823,55,2,29628
2026-01-15 09:35:12.597778,192.168.206.161,192.168.134.137,443,22,ICMP,998,59,2,27366
2026-01-15 09:35:07.365642,192.168.180.149,192.168.155.147,3389,22,UDP,227,63,18,4289
2026-01-15 09:35:10.429445,192.168.89.247,192.168.58.124,443,3389,ICMP,707,37,16,62442
2026-01-15 09:35:12.711668,192.168.107.104,192.168.52.192,3389,80,TCP,1290,34,18,51343
2026-01-15 09:35:11.626092,192.168.0.14,192.168.236.167,8080,3389,UDP,1220,58,2,19470
2026-01-15 09:35:01.663760,192.168.139.27,192.168.238.81,3389,22,UDP,465,54,1,24469
2026-01-15 09:35:04.012418,192.168.95.100,192.168.151.89,3389,3389,UDP,451,30,1,43310
2026-01-15 09:35:13.896995,192.168.141.88,192.168.245.192,22,8061,UDP,1372,30,1,62239
2026-01-15 09:35:00.105567,192.168.83.114,192.168.39.193,7848,3389,ICMP,1379,36,0,8708
2026-01-15 09:35:13.387308,192.168.201.88,192.168.111.205,22,59760,UDP,1125,53,2,36940
2026-01-15 09:35:10.364725,192.168.104.240,192.168.12.235,3389,80,ICMP,656,30,0,25091
2026-01-15 09:35:01.865437,192.168.64.73,192.168.197.126,80,8080,TCP,242,31,0,25825
2026-01-15 09:35:14.428905,192.168.230.126,192.168.106.241,80,33094,UDP,203,42,18,49624
2026-01-15 09:35:07.967906,192.168.133.136,192.168.79.7,3389,8080,TCP,1093,59,0,35034
2026-01-15 09:35:12.828185,192.168.131.10,192.168.226.37,443,3389,TCP,721,57,1,17635
2026-01-15 09:35:13.041075,192.168.165.217,192.168.235.58,3389,80,UDP,615,43,16,55550
2026-01-15 09:35:00.242166,192.168.178.71,192.168.108.6,8080,22,UDP,563,36,2,25846
2026-01-15 09:35:09.483362,192.168.190.222,192.168.38.101,443,8080,TCP,127,61,0,10699
2026-01-15 09:35:10.174829,192.168.120.37,192.168.7.36,443,80,UDP,706,44,1,23535
2026-01-15 09:35:03.759149,192.168.126.38,192.168.99.27,8080,80,TCP,181,57,16,56484
2026-01-15 09:35:05.034572,192.168.53.111,192.168.139.230,8080,443,TCP,164,54,2,34268
2026-01-15 09:35:00.552081,192.168.65.62,192.168.134.31,8080,22,TCP,1122,32,2,23389
2026-01-15 09:35:14.617535,192.168.102.80,192.168.31.168,10868,80,UDP,1079,32,2,34049
2026-01-15 09:34:56.890949,192.168.178.161,192.168.43.208,62130,80,UDP,1146,59,2,15146
2026-01-15 09:35:00.758335,192.168.142.163,192.168.31.211,443,443,UDP,103,49,1,38702
2026-01-15 09:35:08.461885,192.168.158.111,192.168.13.47,16248,80,ICMP,1162,60,0,22122
2026-01-15 09:35:12.232258,192.168.121.34,192.168.58.43,80,61226,TCP,122,56,1,59704
2026-01-15 09:35:15.514784,192.168.166.77,192.168.8.111,3389,22,TCP,1091,61,1,2669
2026-01-15 09:35:15.994517,192.168.180.109,192.168.193.145,443,80,UDP,941,41,1,45724
2026-01-15 09:34:59.654615,192.168.244.197,192.168.233.139,443,8080,UDP,845,58,1,57235
2026-01-15 09:34:57.432503,192.168.202.101,192.168.161.1,443,80,TCP,802,57,18,65188
2026-01-15 09:35:13.218663,192.168.130.5,192.168.228.93,48381,80,TCP,1079,55,1,47800
2026-01-15 09:35:09.566622,192.168.3.231,192.168.25.220,3389,8080,UDP,1064,32,18,57480
2026-01-15 09:35:09.661858,192.168.84.77,192.168.150.232,80,3389,UDP,898,43,1,39419
2026-01-15 09:35:16.517655,192.168.68.222,192.168.144.250,8080,42731,ICMP,181,46,18,64318
2026-01-15 09:35:12.550611,192.168.82.198,192.168.123.199,60917,3389,TCP,1070,32,0,28293
2026-01-15 09:35:12.539062,192.168.207.3,192.168.119.74,80,8080,UDP,667,30,0,54112
2026-01-15 09:35:07.611099,192.168.103.229,192.168.239.173,8080,80,TCP,603,45,2,53055
2026-01-15 09:35:06.317241,192.168.10.124,192.168.78.179,22,22,ICMP,1408,32,1,45655
2026-01-15 09:35:09.364101,192.168.155.33,192.168.242.6,51768,30176,TCP,378,60,0,50039
2026-01-15 09:34:56.728199,192.168.111.89,192.168.107.156,18434,80,UDP,342,63,1,8320
2026-01-15 09:35:04.608401,192.168.136.164,192.168.160.160,8080,57243,TCP,806,41,16,57100
2026-01-15 09:34:56.710294,192.168.249.55,192.168.69.95,3389,3389,UDP,681,50,0,49801
2026-01-15 09:35:06.775548,192.168.155.72,192.168.207.212,22,3389,ICMP,1332,38,2,59195
2026-01-15 09:35:16.940047,192.168.23.200,192.168.60.129,443,3389,UDP,1130,42,0,36069
2026-01-15 09:35:01.838450,192.168.102.172,192.168.116.215,24235,443,ICMP,786,43,2,65274
2026-01-15 09:35:14.046583,192.168.223.169,192.168.169.124,3389,443,ICMP,1271,42,0,14997
2026-01-15 09:35:05.337364,192.168.214.57,192.168.177.58,8080,22,ICMP,1347,62,1,15525
2026-01-15 09:35:14.345103,192.168.198.212,192.168.255.21,8080,22,TCP,207,51,16,40244
2026-01-15 09:35:05.701947,192.168.136.154,192.168.231.96,443,3389,ICMP,1068,63,2,41086
2026-01-15 09:35:08.413378,192.168.245.60,192.168.99.74,54948,22,ICMP,369,37,1,10302
2026-01-15 09:35:18.329485,192.168.157.107,192.168.209.35,443,17752,TCP,1361,51,2,1612
2026-01-15 09:34:56.843600,192.168.213.176,192.168.178.166,8080,3389,TCP,1500,39,18,51915
2026-01-15 09:35:15.055598,192.168.255.148,192.168.213.201,8080,22,ICMP,342,44,18,42446
2026-01-15 09:35:03.492352,192.168.120.252,192.168.197.192,22,8080,TCP,289,48,1,44677
2026-01-15 09:35:17.624166,192.168.169.54,192.168.152.47,8080,8080,TCP,1160,39,2,30321
2026-01-15 09:35:18.745365,192.168.65.247,192.168.53.207,443,32582,ICMP,1392,64,16,45930
2026-01-15 09:34:58.500662,192.168.250.47,192.168.152.216,3389,42044,ICMP,1016,39,2,47572
2026-01-15 09:35:10.055723,192.168.90.63,192.168.87.136,8080,22,UDP,1484,36,18,8771
2026-01-15 09:35:10.108393,192.168.160.48,192.168.231.160,22,22,UDP,534,47,2,21175
2026-01-15 09:35:09.247771,192.168.204.207,192.168.144.66,3389,3389,ICMP,1083,32,16,54326
2026-01-15 09:34:57.980650,192.168.136.221,192.168.200.182,22,3389,UDP,738,33,18,28366
2026-01-15 09:35:07.791322,192.168.122.214,192.168.149.107,22,22,UDP,1397,56,0,6049
2026-01-15 09:35:08.574770,192.168.20.107,192.168.217.148,80,6692,TCP,1038,51,2,65408
2026-01-15 09:35:15.746400,192.168.144.36,192.168.169.218,58965,8080,ICMP,486,45,2,39800
2026-01-15 09:35:05.335563,192.168.68.6,192.168.76.159,3389,443,ICMP,1238,36,16,25953
2026-01-15 09:35:02.423327,192.168.72.222,192.168.101.216,53510,8080,ICMP,1431,62,1,32217
2026-01-15 09:35:01.837765,192.168.43.5,192.168.31.198,3389,3389,TCP,759,57,2,29716
2026-01-15 09:35:08.311793,192.168.0.145,192.168.162.28,3389,3389,ICMP,693,36,0,40497
2026-01-15 09:35:17.661729,192.168.233.138,192.168.248.205,443,3389,ICMP,703,64,18,40240
2026-01-15 09:34:55.979473,192.168.21.55,192.168.182.117,443,3389,TCP,1431,37,2,19654
2026-01-15 09:35:06.405621,192.168.72.30,192.168.166.129,8080,443,UDP,881,39,0,63722
2026-01-15 09:35:03.568768,192.168.52.181,192.168.237.102,8080,8080,TCP,177,52,18,43033
2026-01-15 09:34:56.557112,192.168.1.216,192.168.120.240,12981,443,ICMP,801,51,1,27599
2026-01-15 09:35:20.171174,192.168.88.240,192.168.206.24,22,80,TCP,89,35,0,45781
2026-01-15 09:35:09.933496,192.168.204.79,192.168.162.8,33911,26950,ICMP,823,30,2,64557
2026-01-15 09:35:18.551094,192.168.223.123,192.168.162.84,43738,15484,ICMP,541,61,2,30934
2026-01-15 09:35:12.966038,192.168.173.216,192.168.113.190,80,3389,UDP,1419,57,0,18845
2026-01-15 09:35:21.209829,192.168.234.171,192.168.45.3,8080,44868,ICMP,1232,49,0,62611
2026-01-15 09:35:10.120207,192.168.64.253,192.168.185.9,80,443,UDP,160,39,2,64641
2026-01-15 09:34:56.695722,192.168.97.36,192.168.223.62,3389,22,TCP,1429,57,2,11577
2026-01-15 09:35:08.349009,192.168.168.241,192.168.241.89,80,17662,ICMP,165,39,16,9274
2026-01-15 09:35:13.173152,192.168.41.91,192.168.101.35,22,80,TCP,1259,37,2,7178
2026-01-15 09:35:18.324600,192.168.152.11,192.168.220.33,43172,3389,ICMP,392,48,1,40405
2026-01-15 09:35:03.647154,192.168.66.34,192.168.245.50,80,80,TCP,297,53,2,18433
2026-01-15 09:35:06.024531,192.168.71.182,192.168.178.72,8080,443,ICMP,1256,44,18,39320
2026-01-15 09:35:20.444759,192.168.125.220,192.168.59.208,443,8080,ICMP,1444,54,2,62885
2026-01-15 09:35:14.568423,192.168.87.199,192.168.60.77,3634,22,ICMP,271,63,2,24912
2026-01-15 09:35:10.220547,192.168.133.182,192.168.64.87,80,3389,ICMP,172,36,0,36024
2026-01-15 09:35:11.563678,192.168.13.107,192.168.9.161,80,22,ICMP,757,58,18,8512
2026-01-15 09:35:07.075103,192.168.239.2,192.168.251.9,24240,30530,ICMP,832,64,1,55500
2026-01-15 09:35:20.929997,192.168.184.82,192.168.145.63,80,80,UDP,724,36,1,63061
2026-01-15 09:35:13.460687,192.168.144.171,192.168.222.113,54299,22,TCP,1486,57,1,15473
2026-01-15 09:35:16.229294,192.168.44.102,192.168.5.184,3389,80,TCP,1447,37,1,27763
2026-01-15 09:35:02.487658,192.168.42.216,192.168.16.188,443,50541,ICMP,311,31,0,37187
2026-01-15 09:35:16.342359,192.168.54.194,192.168.222.102,8080,443,ICMP,317,57,2,28152
